標題,時間,聯結,內文
幾乎像iPad？郭明錤爆料MacBook將搭「觸控螢幕」量產時間曝光了,2025.09.18  | 11:45 ,https://www.ctee.com.tw/news/20250918700917-430704,"蘋果iPhone 17系列手機已於12日開放預購，現在傳出蘋果產品再傳重大變革。知名蘋果分析師、天風國際證券的郭明錤指出，MacBook將在未來首度配備觸控面板，進一步模糊與iPad的使用界線。
郭明錤17日於社群X平台發文指出，MacBook這項改變可能反映了蘋果多年觀察iPad用戶行為的結果，發現觸控操作在特定使用情境下，能提升生產力與使用者體驗，更進一步透露量產時間表，預計蘋果在2026年底量產的OLED MacBook Pro，將配備觸控面板，並採用on-cell觸控技術。
至於蘋果預計在今年第四季推出的低價版MacBook，郭明錤表示，雖然會搭載iPhone等級的處理器，但並不會配備觸控面板，而第二代預計要等到2027年才會量產，規格尚在討論中，不排除未來可能支援觸控功能。"
降息1碼！鮑爾說了什麼？聯準會決策重點一次看：風險管理降息、年底前再降2次、就業不太妙,2025.09.18  | 08:10 ,https://www.ctee.com.tw/news/20250918700561-430701,"在公布9月份利率決策會議後，美國聯準會主席鮑爾（Jerome Powell）表示，美國經濟風險平衡已改變，就業面臨惡化風險，同時通膨仍處於高位，因此可將本次降息看作是一次「風險管理降息」。
鮑爾在記者會的開場白表示，最近一年，失業率幾乎保持不變。目前失業率仍然偏低，但已經上揚，就業人口增幅已經放緩，下行風險加重。
通膨方面，鮑爾表示，通膨在近期上升，仍然在一定程度上偏高。他預計美國8月PCE年增2.7％，預計核心PCE年增2.9％。
鮑爾表示，基本假設是，關稅對通膨的影響將是短暫的，但仍需要管控「通膨頑固地存在」這種風險。
鮑爾表示，本次聯邦公開市場委員會（FOMC）對降息50個基點呼聲的支持並不多。美國聯準會聯邦公開市場委員會以11比1的投票結果通過降息25個基點的決定。鮑爾並強調，FOMC仍然是團結一致的，美國聯準會堅定致力維持自身的獨立性。我們歡迎新的委員會成員。
根據Fed貨幣會議決策紀要，17日剛走馬上任的聯準會理事斯米蘭（Stephen Miran）投下唯一反對票：他支援降息2碼50個基點。從票型分析，參加此次FOMC會議的19位聯準會官員中，有1位官員認為2025年底前不應再降息，有6位官員認為應累計降息1碼，有2位官員認為應累計降息50個基點，即降息2次。有9位官員認為應累計降息75個基點，即降息3次。有1位官員認為2025年應大幅降息150個基點，即認為年內至少還有兩次大幅降息（3碼＋2碼）。
而9月FOMC利率決議聲明指出，就業面臨的下行風險加重，成為聯準會後續利率政策的一大難題。此外，聯準會預計今年還將降息兩碼。本次會後公布最新利率點陣圖，內容顯示，官員預期今年底利率中位數為3.625％，低於6月時的3.875％，意味著年底前可望再降息2次，幅度各為1碼；2026年的利率中位數預測為3.375％，即降息1次。
根據芝商所（CME Group）在此次決議後不久更新的「美國聯準會觀察工具」（FedWatch），交易員目前同樣預估明年還將降息2至3次。該工具通過30天聯邦基金期貨合約價格，計算市場隱含的利率變動機率。
對於本次聯準會利率決策會議，CNBC評論，聯準會預計2026年僅僅會降息一次，這比市場預期更加保守。
信安資產管理公司首席全球策略師西瑪沙阿表示，明年的點陣圖彙集了各種不同觀點，精準反映出當前經濟前景的複雜性，包括勞動力供給變化、數據衡量問題，以及政府政策動蕩與不確定性，都讓這一前景更加模糊。
摩根大通則表示，聯準會9月利率決策會議僅僅有一個異議出席者，這讓人感到驚訝。摩根大通CEO戴蒙則在會議結果公布前表示，「我認為聯準會應該保持獨立，對宏觀前景的評估到目前為止還不錯。」
另外，官員估計美國今年國內生產毛額（GDP）增長1.6％，高於6月預期的升1.4％，今年底失業率預估為4.5％，同6月預期一致，核心通膨率同樣維持3.1％。根據FOMC會議報告，在經濟成長方面，長期實際GDP增幅預測中值為1.8％，2025年GDP為1.6％、2026年為1.8％、2027年為1.9％、2028年則為1.8％。
通膨方面，長期PCE通膨率預測中值為2.0％，持平6月。2025年為3.0％、2026年降為2.6％，2027年降至2.1％，2028年則為2.0％。2025年核心PCE通膨率預測中值為3.1％，與6月相同，並將在2026年降為2.6％、2027年降至2.1％、2028年則為2.0％。
長期失業率預測中值為4.2％，2025年6月18日上次會議預測值為4.2％。2025年失業率預測中值為4.5％，上次為4.5％。2026年失業率預測中值為4.4％，上次為4.5％。2027年失業率預測中值為4.3％，上次為4.4％。2028年失業率預測中值為4.2％。
當局在議息聲明中提到，最新指標顯示美國上半年經濟活動放緩，職位增長放慢，失業率略為上升但依然處於低位，通膨呈上升跡象並仍略為高企。針對經濟前景，官員們認為仍相當不明朗，就業市場下行風險增加，鮑爾則稱「不能再說勞動市場非常穩健」，因此將同時關注通膨和就業市場風險，在考慮額外利率調整的時間和幅度時，會謹慎評估最新數據、前景演變和風險平衡。
鮑爾在會後記者會上談到，聯準會目前正在裁減10%的人力，在完成裁員過程後，員工數將回到十年前的水準。鮑爾在今年5月時曾發出內部備忘錄，宣布聯準會計劃在未來數年內透過自願離職計畫，削減約10%的員工，以確保組織規模能符合法定任務，繼續有效履行穩定經濟的核心職責。據悉，裁員將涵蓋整個聯邦準備體系，包括12家地區聯邦儲備銀行，經估算後，裁員10%將使員工總數降至2.2萬左右。
Fed降息1碼 黃金奔新高 美元指數跌近3年半新低
美國聯準會宣布降息1碼後，17日美元指數劇烈震盪，一度跌至2022年以來新低，最新報97.015、走升0.40％、美元兌歐元一度跌至4年新低後反彈。
現貨黃金則觸及每盎司3,707.40美元的歷史新高後，遭遇獲利了結賣壓回跌。
華爾街股市17日互有漲跌，道瓊工業指數高開20點，漲幅一度擴大至504點，收盤漲幅縮窄，標普500指數與那斯達克指數盤中分別跌0.1％和1.23％，終場齊收黑。
美國10年期美債殖利率一度揚升6.5基點，報4.089％，2年期美債殖利率上揚4.5基點，報3.555％。
美國聯準會（Fed）決議降息已是市場共識，法人指出，對於未來聯準會動向與市場資金流向的觀察重點，在於主席鮑爾談話與點陣圖，法人以兩劇本推演後市：接續若仍具較大降息空間，台股短線有機會上看26,000點；若降息空間較小，則將面臨回測23,000點的風險。
華南投顧董事長呂仁傑表示，根據點陣圖與經濟預測，台股接下來走勢大致會有兩大劇本：一、9月降息1碼後年底前僅再降1碼，台股短線可能拉回休息，技術面修正約至23,000點為支撐區，可視為加碼時間，第四季將再挑戰新高；二、9月降1碼後年底前仍有降息2碼空間，股市短線可望向上挑戰26,000點，建議可趁勢調節部位並降低槓桿操作。"
Fed利率決策會議：今年還會降兩碼,2025.09.18  | 02:18 ,https://www.ctee.com.tw/news/20250918700048-430701,"美國聯準會（Fed）台灣時間18日凌晨2點公布9月FOMC利率決策會議，決定降息一碼，利率來到4.00％～4.25％。決議聲明指出，就業面臨的下行風險加重。這也是聯準會自去年12月以來首度降息，預料將開啟新一波降息週期。
此外，聯準會預計今年還將降息兩碼。在最新版經濟預期概要（SEP）中，聯準會預計2025年底聯邦基準利率為3.6％，6月預計為3.9％。預計2026年底為3.4％，此前預計3.6％。
預計2027年年底為3.1％，此前預計為3.4％。預計2028年年底為3.1％。預計更長週期為3.1％，此前預計為3.0％。
另據報導，新理事米蘭（Stephen Miran）對降息1碼持異議，他支持降息2碼（50個基本點）。
另據美國聯準會點陣圖顯示，2025、2026、2027年底和長期聯邦基準利率預期中值分別為3.6％、3.4％、3.1％、3.0％。6月預期為3.9％、3.6％、3.4％、3.0％），2028年底聯邦基準利率預期中值為3.1％。"
鮑爾：本次是風險管理類型降息 估8月PCE年增2.7％,2025.09.18  | 03:01 ,https://www.ctee.com.tw/news/20250918700476-430701,"在公布9月份利率決策會議後，美國聯準會主席鮑爾表示，今天聯邦公開市場委員會（FOMC）對降息50個基點呼聲的支持並不多。可以認為，今天的寬鬆行動是一種風險管理類型的降息。
美國聯準會聯邦公開市場委員會以11比1的投票結果通過降息25個基點的決定。剛被任命的聯準會理事斯米蘭投下唯一反對票：他支援降息50個基點。
鮑爾在記者會的開場白表示，最近一年，失業率幾乎保持不變。目前失業率仍然偏低，但已經上揚。就業人口增幅已經放緩，下行風險加重。
通膨方面，鮑爾表示，通膨在近期上升，仍然在一定程度上偏高。他預計美國8月PCE年增2.7％，預計核心PCE年增2.9％。
鮑爾表示，基本假設是，關稅對通膨的影響將是短暫的，但仍需要管控「通膨頑固地存在」這種風險。
鮑爾還強調，FOMC仍然是團結一致的，美國聯準會堅定致力維持自身的獨立性。我們歡迎新的委員會成員。"
持反對意見！Fed新上任理事米蘭：應降2碼,2025.09.18  | 02:49 ,https://www.ctee.com.tw/news/20250918700059-430701,"根據Fed貨幣會議決策紀要，17日剛走馬上任的聯準會理事米蘭（Stephen Miran）對本次利率決議持反對意見，認為應降息2碼（50個基點）。
參加此次FOMC會議的19位聯準會官員中，有1位官員認為2025年底前不應再降息，有6位官員認為應累計降息1碼，有2位官員認為應累計降息50個基點，即降息2次。
有9位官員認為應累計降息75個基點，即降息3次。有1位官員認為2025年應大幅降息150個基點，即認為年內至少還有兩次大幅降息（3碼＋2碼）。"
FedWatch預估明年降息2~3次,2025.09.18  | 03:15 ,https://www.ctee.com.tw/news/20250918700486-430701,"根據芝商所（CME Group）在此次決議後不久更新的「美國聯準會觀察工具」（FedWatch），交易員目前預計明年還將降息2至3次。該工具通過30天聯邦基金期貨合約價格，計算市場隱含的利率變動機率。
對於本次聯準會利率決策會議，CNBC評論，聯準會預計2026年僅僅會降息一次，這比市場預期更加保守。
信安資產管理公司首席全球策略師西瑪沙阿表示，明年的點陣圖彙集了各種不同觀點，精準反映出當前經濟前景的複雜性，包括勞動力供給變化、數據衡量問題，以及政府政策動蕩與不確定性，都讓這一前景更加模糊。
摩根大通則表示，聯準會9月利率決策會議僅僅有一個異議出席者，這讓人感到驚訝。摩根大通CEO戴蒙則在會議結果公布前表示，「我認為聯準會應該保持獨立，對宏觀前景的評估到目前為止還不錯。」"
川普經濟顧問加入聯準會 鮑爾：仍致力維持獨立性,2025.09.18  | 08:18 ,https://www.ctee.com.tw/news/20250918700567-430701,"美國總統川普欽點其經濟顧問米蘭為美國聯邦準備理事會（Fed）的新任理事。媒體關切，米蘭仍保有白宮職位，是否有損聯準會獨立性，主席鮑爾（Jerome Powell）今天對此強調，聯準會仍致力維護自身的獨立性。
聯準會今天宣布降息1碼，而川普（Donald Trump）欽點的新任聯準會理事米蘭（Stephen Miran）投下唯一反對票，主張降息2碼。
鮑爾下午在記者會被問及，米蘭仍持續擔任白宮經濟顧問委員會主席，其與行政部門的關係是否有損聯準會獨立性。鮑爾回應表示，「我們今天確實歡迎了一位新成員」，在追求使命目標上仍保持團結，「我們堅定致力維護自身的獨立性」。
鮑爾表示，除此之外，「我沒有其他可說的」。
聯準會今天決定將基準利率下調25個基點（1碼）至4.0%到4.25%區間。米蘭投下唯一的反對票，他支持更大幅度的降息，主張降息50個基點（2碼）。
米蘭獲得川普欽點出任聯準會理事，美國聯邦參議院15日才以48票贊成、47票反對，通過他的任命案。
川普先前曾屢次施壓聯準會降息。"
鮑爾：Fed將裁員10％ 員工數重回10年前水準,2025.09.18  | 06:56 ,https://www.ctee.com.tw/news/20250918700542-430701,"美國聯準會主席鮑爾（Jerome Powell）17日表示，聯準會目前正大幅裁減人力，裁減幅度約為10%。
聯準會於16日至17日召開利率決策會議，決議將聯邦基金利率下調1碼至4%至4.25%的區間，在會後記者會上，鮑爾談到，聯準會目前正在裁減10%的人力，在完成裁員過程後，員工數將回到十年前的水準。
鮑爾在今年5月時曾發出內部備忘錄，宣布聯準會計劃在未來數年內透過自願離職計畫，削減約10%的員工，以確保組織規模能符合法定任務，繼續有效履行穩定經濟的核心職責。據悉，裁員將涵蓋整個聯邦準備體系，包括12家地區聯邦儲備銀行，經估算後，裁員10%將使員工總數降至2.2萬左右。
本月初，美國財政部長貝森特（Scott Bessent）曾撰文呼籲重新審視聯準會，包括其制定利率的權力。貝森特在《華爾街日報》撰文將聯準會比喻為「逃出實驗室的致命病毒」，認為必須將其「重新關進牢籠」，貝森特強調，聯準會必須必須要有一個誠實、獨立、無黨派的全面檢討，涵蓋貨幣政策、監管、溝通、人事以及研究，並也呼籲聯準會應將銀行監管交由其他政府機關負責，以縮減該局「在經濟中造成的扭曲」，包括在非真正危機狀況下進行的債券購買。
鮑爾17日在記者會上被問及是否會進行聯準會改革時回答稱，樂於接受建設性的批評，並尋求改進工作的方式，但並不認為有必要對聯準會進行正式審查。"
才轉寬鬆又釋但書 聯準會對降息潑冷水,2025.09.18  | 13:44 ,https://www.ctee.com.tw/news/20250918701120-430701,"聯準會重啟降息腳步，再度走入寬鬆政策大門，但同時警告通膨將持續存在，這引發投資人對未來政策調整抱持存疑態度，市場未來幾個月似乎將面臨動盪，市場對降息的熱情受抑制，美股三大指數17日漲跌互見。
一些投資者現在不太確定借貸成本迅速調降這件事是否將會實現，這可能會削減人們對股市和債市將因寬鬆政策而獲得強勁提振的樂觀情緒。就連聯準會內部對未來利率走勢也看法分歧，更加深市場的不確定性。
聯準會主席鮑爾強調決策者面臨「具挑戰性的情況」，並指出通膨風險偏向上行，就業風險偏向下行。
儘管市場普遍期待聯準會將轉向鴿派，但上述言論還是抑制市場的樂觀情緒。
聯準會預測今年通膨率仍將達到3％，遠高於央行2％的目標，而對經濟成長預測則調升至為1.6％。
駿利亨德森投資者公司（Janus Henderson Investors）投資組合經理Dan Siluk表示，「市場或許歡迎寬鬆政策的傾向，但傳遞的訊息仍然微妙，距離全面轉向（降息）還很遙遠。」
富蘭克林坦伯頓研究所全球投資策略師海瑟威（Larry Hatheway）表示：「我們抱持相當謹慎的觀點一段時間了，但這不盡然是完全防守的立場」，而聯準會釋出的訊息「強化」他們的這種觀點。
聯準會並未明確透露是否採取一連串降息措施，而是強調將逐次會議依照數據進行評估的方式。海瑟威指出，市場上許多人可能會對聯準會缺乏明確的政策和方向略感失望。"
《日股》半導體族群打頭陣 日經盤中創新高,2025.09.18  | 12:33 ,https://www.ctee.com.tw/news/20250918701123-430701,"【時報編譯柳繼剛綜合外電報導】受到科技類股上漲激勵，日經指數18日盤中一度創下歷史新高45,427.33點。早盤結束時，日經暫收45,277.43點，漲487.05點或1.09%。東證收3,163.03點，也漲17.2點或0.55%。
分析師指出，全球市場一直在等待聯準會再度調降利率，希望能刺激全球最大經濟體美國的成長，日本出口也可從中牟利。次外，加上瓊斯反彈以及日圓持續貶值等利多因素，日經指數才會開高走高。不過，45,000點是一個重要心理關卡，向上突破之後，似乎出現獲利了結的現象。
另外，市場的注意力現已轉移到，即將在19日結束為期兩天的日本央行會議上，儘管市場普遍預期日本央行這次將維持政策利率不變，但日本央行可能會透露說，何時可能會再度升息，貨幣政策能早日回到正常化。
日股中，漲幅較大的是半導體相關權值股。例如，化學業者昭和電工飆升10.5%，Screen大漲4.6%，東京威力科創大漲5.2%，愛德萬測試也大漲4.5%。相反地，公用設施類股表現較差，像是東京電力大跌4.7%，東京瓦斯也大跌4.2%。"
